Frank,Gothic Type,Author,Gender,Title,Year,No. from Tracy
59,Gothic chapbook,unsigned,unknown,"THE CAVERN OF HORRORS, OR, MISERIES OF MIRANDA. A NEAPOLITAN TALE",1802,17
71,Pure or high Gothic (terror mode),unsigned,unknown,"CORRELIA: OR, THE MYSTIC TOMB",1802,
114,Gothic chapbook (shilling shocker),unsigned,unknown,"DON ALGONAH: OR, THE SORCERESS OF MONTILLO",1802,
167,Political Gothic and Grotto Gothic (sentimental elements),"Hasworth, H.H.",unknown,"THE LADY OF THE CAVE: OR, THE MYSTERIES OF THE FOURTEENTH CENTURY, AN HISTORICAL ROMANCE",1802,
168,Sentimental Gothic (terror mode),unsigned,unknown,"HATRED: OR, THE VINDICTIVE FATHER, A TALE OF SORROW",1802,
282,Periodical Gothic thriller (chapbook quality),unsigned,unknown,"THE MIDNIGHT ASSASSIN: OR, THE CONFESSIONS OF THE MONK RINALDI",1802,
308,Pure or high Gothic (plotting taken from Reeve’s OLD ENGLISH BARON),unsigned,unknown,"NEVILLE CASTLE: OR, THE GENEROUS CAMBRIANS",1802,
314,"Gothified history (terror mode, Macbethian overtones)",F.H.P.,unknown,THE CASTLE OF CAITHNESS: A ROMANCE OF THE THIRTEENTH CENTURY,1802,
393,Gothic Chapbook,unsigned,unknown,"THE SECRET OATH: OR, BLOOD-STAINED DAGGER",1802,
406,Gothic chapbook (composite plagiarism),unsigned,unknown,"SHREWTZER CASTLE: OR, THE PERFIDIOUS BROTHER, A GERMAN ROMANCE INCLUDING THE PATHETIC TALE OF EDMUND’S GHOST",1802,
432,Gothic Chapbook (72-page shilling shocker,unsigned,unknown,"THE SOUTHERN TOWER: OR, CONJUGAL SACRIFICE AND RETRIBUTION",1802,
467,Gothic chapbook,unsigned,unknown,"THE WANDERING SPIRIT: OR, THE MEMOIRS OF THE HOUSE OF MORNO",1802,
3,Gothic chapbook (imitation of John Moore's ZELUCO),unsigned,unknown,"ALBANI: OR, THE MURDERER OF HIS CHILD, CONTAINING THE DIFFERENT VIEWS OF HIS CHARACTER, AS A LIBERTINE IN PALERMO, AN OFFICER IN THE SPANISH SERVICE, A PLANTER IN THE ISLAND OF CUBA, ETC",1803,
5,Chapbook or pulp gothic (monastic shocker),unsigned,unknown,"ALMAGRO AND CLAUDE: OR, MONASTIC MURDER EXEMPLIFIED IN THE DREADFUL DOOM OF AN UNFORTUNATE NUN",1803,
24,Gothic Chapbook,"Barrett, C.F.",unknown,"DOUGLAS CASTLE: OR, THE CELL OF MYSTERY, A SCOTTISH TALE",1803,
25,Gothic Chapbook (shilling shocker qualities),"Barrett, C.F.",unknown,"THE ROUND TOWER: OR, THE MYSTERIOUS WITNESS, AN IRISH LEGENDARY TALE OF THE SIXTH CENTURY",1803,
36,Gothic Chapbook (shilling shocker qualities),unsigned,unknown,"THE BLACK VALLEY: OR, THE CASTLE OF ROSENBERG",1803,
78,Gothic chapbook (imitation of THE CASTLE OF OTRANTO),unsigned,unknown,"CRONSTADT CASTLE: OR, THE MYSTERIOUS VISITOR",1803,
109,Gothic chapbook,unsigned,unknown,"DE LA MARK AND CONSTANTIA: OR, ANCIENT HEROISM, A GOTHIC TALE",1803,
115,"Pure or high Gothic (horror mode, bluebook)",unsigned,unknown,"DON SANCHO: OR, THE MONK OF HENNARES, A SPANISH ROMANCE",1803,
125,Gothic novelette (based on THE MONK),unsigned,unknown,"FATHER INNOCENT, ABBOT OF CAPUCHINS: OR, THE CRIMES OF THE CLOISTERS",1803,
130,Pure or high Gothic (terror-horror modes),unsigned,unknown,THE FOREST OF HOHENHELBE: A TALE,1803,
137,Pure or high Gothic (terror mode),unsigned,unknown,THE GHOST OF HARCOURT: A ROMANCE,1803,
196,Gothic chapbook (horror-terror modes),unsigned,unknown,"ILDEFONZO AND ALBERONI: OR, TALES OF HORROR",1803,
394,Gothic bluebook (plagiarized abridgement of several novels of the secret Fehmic Court),unsigned,unknown,"THE SECRET TRIBUNAL: OR, THE COURT OF WINCELAUS, A MYSTERIOUS TALE",1803,
448,Gothic chapbook,unsigned,unknown,"A TALE OF MYSTERY: OR, THE CASTLE OF SOLITUDE",1803,
473,Pure or high Gothic (imitation of OTRANTO),"White, T.H.",unknown,"BELGROVE CASTLE: OR, THE HORRID SPECTRE",1803,
2,Gothic chapbook,unsigned,unknown,"THE AFFECTING HISTORY OF LOUISA, THE WANDERING MANIAC: OR, ""THE LADY OF THE HAY-STACK""",1804,
52,Pure or high Gothic (terror-horror modes),unsigned,unknown,"THE CASTLE OF MONTALBERT: OR, THE FATAL PREDICTION. TELL-TALE: OR, UNIVERSAL MUSEUM, CONSISTING OF A SERIES OF INTERESTING ADVENTURES, VOYAGES, HISTORIES, LIVES, TALES, AND ROMANCES",1804,
117,Pure or high Gothic (terror mode),unsigned,unknown,"DURSTON CASTLE: OR, THE GHOST OF ELEONORA, A GOTHIC STORY",1804,
141,Gothic bluebook,unsigned,unknown,"THE GOTHIC STORY OF COURVILLE CASTLE: OR, THE ILLEGITIMATE SON, A VICTIM OF PREJUDICE AND PASSION",1804,
183,Gothic chapbook (Radcliffean imitation with some Lewisite horror),unsigned,unknown,"HORATIO AND CAMILLA: OR, THE NUNS OF ST. MARY",1804,
248,Gothic chapbook,unsigned,unknown,"LEWIS TYRELL: OR, THE DEPRAVED COUNT, INCLUDING THE PATHETICK ADVENTURES AND TRAGICALL HISTORY OF ELLA CLIFFORD AND OSCAR HENRY HAMPDON, AN ENGLISH TALE OF THE FOURTEENTH CENTURY",1804,
270,Gothic chapbook,unsigned,unknown,"MAXIMILIAN AND SELINA: OR, THE MYSTERIOUS ABBOT, A FLEMISH TALE",1804,
429,Gothic chapbook (composite Gothic plagiarisms),unsigned,unknown,"SOMERSET CASTLE: OR, THE FATHER AND DAUGHTER, A TRAGIC TALE TO WHICH IS ADDED GHOST AND NO GHOST: OR, THE DUNGEON",1804,
457,Pure or high Gothic (elements of the monastic shocker),unsigned,unknown,"VALOMBROSA: OR, THE VENETIAN NUN",1804,
53,"Pure or high Gothic (terror mode, revival of Udolphoesque Gothic)",unsigned,unknown,THE CASTLE OF SANTA FE,1805,
62,Monastic shocker,"Chapman, M.",unknown,"MARLETON ABBEY: OR, THE MYSTIC TOMB OF ST. ANGELO",1805,
175,Tower Gothic (terror mode with elements of the Räuberroman),"Hernon, G.D.",unknown,"LOUISA: OR, THE BLACK TOWER",1805,
195,Domestic Gothic,unsigned,unknown,THE IDIOT HEIRESS. A NOVEL,1805,73
298,Pure or high Gothic (terror mode),"Morley, G.T.",unknown,"DEEDS OF DARKNESS: OR, THE UNNATURAL UNCLE",1805,
23,Pure or high Gothic (terror mode),unsigned,unknown,BARON DE FALKENHEIM: A TALE,1806,
110,Pure or high Gothic (terror mode),unsigned,unknown,"DELLINGBOROUGH CASTLE: OR, THE MYSTERIOUS RECLUSE",1806,
123,Serialized Gothic novella (terror and sentimental modes),E. F.,unknown,THE CAVE OF ST. SIDWELL: A ROMANCE,1807,
185,Gothic chapbook,unsigned,unknown,THE HORRORS OF THE SECLUDED CASTLE,1807,
288,Gothic chapbook,unsigned,unknown,"THE MONKS OF CLUGNY: OR, CASTLE-ACRE MONASTERY",1807,
318,Gothic bluebook,unsigned,unknown,"PARENTAL MURDER: OR, THE BROTHERS, AN INTERESTING ROMANCE IN WHICH VIRTUE AND VILLAINY ARE CONTRASTED, AND FOLLOWED BY REWARD AND RETRIBUTION",1807,
453,Gothic chapbook,unsigned,unknown,"THE TOMB OF AURORA: OR, THE MYSTERIOUS SUMMONS",1807,
70,Gothic chapbook,unsigned,unknown,"THE CONVENT SPECTRE: OR, THE UNFORTUNATE DAUGHTER",1808,
283,Gothic bluebook (variable plagiarism from many Gothics),unsigned,unknown,"THE MIDNIGHT GROAN: OR, THE SPECTRE OF THE CHAPEL",1808,116
306,Pure or high Gothic (imitation of Lathom’s Gothic thrillers),unsigned,unknown,MYSTERY UPON MYSTERY: A TALE OF EARLIER TIMES,1808,
373,Rauberroman (Radcliffean and Shakespearean elements),unsigned,unknown,THE ROMANCE OF THE APPENNINES,1808,155
69,Gothic chapbook,unsigned,unknown,"THE CONVENT OF ST. URSULA: OR, INCIDENTS AT OTTAGRO",1809,
311,Pure or high Gothic (imitation of THE MONK),Orlando,unknown,"THE CHAMBER OF DEATH: OR, THE FATE OF ROSARIO, AN HISTORICAL ROMANCE OF THE SIXTEENTH CENTURY",1809,
354,Gothic chapbook,unsigned,unknown,"THE RECLUSE OF THE WOODS: OR, THE GENEROUS WARRIOR, A GOTHIC ROMANCE",1809,
14,Chapbook Gothic (short Schauerroman),unsigned,unknown,"THE AVENGER: OR, SICILIAN VESPERS, A ROMANCE OF THE THIRTEENTH CENTURY, NOT INAPPLICABLE TO THE NINETEENTH",1810,
126,Pure or high Gothic (based on Radcliffe’s ROMANCE OF THE FOREST),unsigned,unknown,FAULCONSTEIN FOREST: A ROMANTIC TALE,1810,
249,Pure or high Gothic (bluebook qualities),"Loney, T.C.",unknown,"SEBASTIAN AND ISABEL: OR, THE INVISIBLE SWORD",1811,
374,Pure or high Gothic (terror and sentimental elements),unsigned,unknown,"ROSALIE: OR, THE CASTLE OF MONTALABRETTI",1811,
434,Pure or high Gothic (horror mode),unsigned,unknown,THE SPECTRE OF THE MOUNTAIN OF GRENADA,1811,
20,Serialized Gothic (sentimental and terror modes),unsigned,unknown,"THE BANDITTI OF THE FOREST: OR, THE MYSTERIOUS DAGGER. LADY'S MONTHLY MUSEUM, OR POLITE REPOSITORY OF AMUSEMENT AND INSTRUCTION",1812,
310,Gothified history,Nubilia,unknown,THE CASTLE OF GLENROICH: A ROMANCE OF THE TWELFTH CENTURY,1812,
61,Serialized Gothic history (terror mode),unsigned,unknown,THE CHAPEL OF ST. BENEDICT: A ROMANCE OF THE FIFTEENTH CENTURY,1813,
380,Romance of the ruin (terror mode),unsigned,unknown,"THE RUINS OF SELINUNTI: OR, THE VAL DE MAZZARA, SICILIAN, CALABRIAN, AND NEAPOLITAN SCENERIES BY A LATE RAMBLER IN THOSE COUNTRIES",1813,
456,"Pure or high Gothic (horror mode, imitation of OTRANTO)","Tuckett, T.R.",unknown,"URBINO: OR, THE VAULTS OF LEPANTO: A ROMANCE",1814,
197,Gothic parody,Ircastrensis,unknown,LOVE AND HORROR: AN IMITATION FOR THE PRESENT AND A MODEL FOR ALL FUTURE ROMANCES,1815,
450,Domestic fiction (intermittent Gothic scenes and devices),unsigned,unknown,"THERESA: OR, THE WIZARD’S FATE",1815,
4,Pure or high Gothic (Radcliffean imitation),unsigned,unknown,"ALEXENA: OR, THE CASTLE OF SANTA MARCO",1817,
159,Comic Gothic,unsigned,unknown,"HARDENBRASS AND HAVERILL: OR, THE SECRET OF THE CASTLE",1817,
286,Gothic bluebook (imitation of chapbook reductions of THE MONK),unsigned,unknown,THE MONK OF HENNARES,1817,
19,Gothic Rauberroman (elements of Radcliffean scenery),unsigned,unknown,"THE BANDIT CHIEF: OR, THE LORDS OF URVINO",1818,
250,Gothic bluebook (shilling shocker),unsigned,unknown,"LOVEL CASTLE: OR, THE RIGHTFUL HEIR RESTORED, A GOTHIC TALE",1818,
35,Pure or high Gothic (horror mode),unsigned,unknown,"THE BLACK CONVENT: OR, A TALE OF FEUDAL TIMES",1819,
56,Pure or high Gothic (sham translation),unsigned,unknown,"THE CASTLE OF VILLA-FLORA: A PORTUGUESES TALE, FROM A MANUSCRIPT LATELY FOUND BY A BRITISH OFFICER OF RANK IN AN OLD MANSION IN PORTUGAL",1819,
455,Sentimental Gothic,unsigned,unknown,"THE TRADITION OF THE CASTLE: OR, SCENES IN THE EMERALD ISLE",1824,
38,Gothified History (terror mode),"Bolen, C. A.",unknown,"THE MYSTERIOUS MONK, OR, THE WIZARD'S TOWER",1826,5
138,Gothic chapbook (Raüberroman),unsigned,unknown,GLENWAR: THE SCOTTISH BANDIT,1828,
184,Gothic chapbook,unsigned,unknown,"THE HORRIBLE REVENGE: OR, THE ASSASSIN OF THE SOLITARY CASTLE",1828,
37,Gothic chapbook,unsigned,unknown,"THE BLOODY HAND, OR, THE FATAL CUP. A TALE OF HORROR!",n.d.,4
54,Gothic chapbook (uses Reeve's OLD ENGLISH BARON as principal source),unsigned,unknown,THE CASTLE OF ST. GERALD,n.d.,
67,Gothic chapbook (sentimental Gothic abridgement),unsigned,unknown,"CLAIRVILLE CASTLE: OR, THE HISTORY OF ALBERT AND EMMA",n.d.,
284,Gothic chapbook (compilation of cases involving spectral appearances),unsigned,unknown,"THE MIDNIGHT MONITOR: OR, SOLEMN WARNINGS FROM THE INVISIBLE WORLD",n.d.,
305,Gothic chapbook,unsigned,unknown,THE MYSTERY OF THE BLACK CONVENT: AN INTERESTING SPANISH TALE OF THE ELEVENTH CENTURY,n.d.,
341,Gothic chapbook,unsigned,unknown,THE PRIORY OF ALBA AND THE CASTLE ON THE CLIFFS: A ROMANCE OF ANCIENT TIMES,n.d.,
492,Gothic chapbook (plagiarism of Shelley’s ST. IRVYNE),unsigned,unknown,"WOLFSTEIN: OR, THE MYSTERIOUS BANDIT, A TERRIFIC ROMANCE, TO WHICH IS ADDED THE BRONZE STATUE, A TERRIFIC TALE",n.d.,
427,Picaresque fiction (several heavily pre-Gothic episodes),"Smollett, Tobias",m,THE ADVENTURES OF FERDINAND COUNT FATHOM,1753,177
243,"Gothified history (historical Gothic prototype, terror elements)","Leland, Thomas",m,"LONGSWORD, EARL OF SALISBURY. AN HISTORICAL ROMANCE",1762,95
466,Pure or high Gothic (first of the first Gothics and technical prototype),"Walpole, Horace",m,THE CASTLE OF OTRANTO,1764,193
260,Sentimental fiction (settings and feelings appropriate to Gothic romance),"Mackenzie, Henry",m,THE MAN OF FEELING,1771,
261,Epistolary and domestic Gothic (emergent Gothic villain),"Mackenzie, Henry",m,JULIA DE ROUBIGNE,1777,
471,"Gothified history (verse novel, imitation of Reeve’s OLD ENGLISH BARON)","Whalley, Thomas Sedgwick",m,EDWY AND EDILDA: A GOTHIC TALE IN FIVE PARTS,1783,
30,Orientalized Gothic fantasy,"Beckford, William",m,"VATHEK: AN ARABIAN TALE FROM AN UNPUBLISHED MANUSCRIPT, WITH NOTES CRITICAL AND EXPLANATORY",1786,3
6,Pure or high Gothic (some burlesque elements),"Andrews, Charles",m,THE SPECTRE,1789,
297,Novel of domestic sadism (titular character is a prototypical Gothic villain),"Moore, John",m,"ZELUCO. VARIOUS VIEWS OF HUMAN NATURE, TAKEN FROM LIFE, AND MANNERS, FOREIGN AND DOMESTIC",1789,120
309,Pure or high Gothic (horror mode),"Nicholson, Mr.",m,THE SOLITARY CASTLE: A ROMANCE OF THE EIGHTEENTH CENTURY,1789,
472,Gothified history/parody (burlesque and satiric elements),"White, James",m,EARL STRONGBOW: THE HISTORY OF RICHARD DE CLARE AND THE BEAUTIFUL GERALDA,1789,
131,Gothified history (terror mode),"Fox, Joseph, Jr.",m,TANCRED: A TALE OF ANCIENT TIMES,1791,
411,Gothified history,"Siddons, Henry",m,"WILLIAM WALLACE: OR, THE HIGHLAND HERO, A TALE FOUNDED ON HISTORICAL FACTS",1791,
15,Marginal Gothic (polemical fiction),"Bage, Robert",m,MAN AS HE IS,1792,
179,Novel of Seduction and Radical Ideas (terror elements),"Holcroft, Thomas",m,ANNA ST. IVES. A NOVEL,1792,68
460,"Grotto Gothic (Gothified history, imitation of Sophia Lee’s THE RECESS)","Walker, George",m,"THE ROMANCE OF THE CAVERN: OR, THE HISTORY OF FITZ-HENRY AND JAMES",1792,
,(not indexed),"Brydges, Sir Samuel Egerton",m,MARY DE CLIFFORD. A STORY INTERSPERSED WITH MANY POEMS,1792,13
86,Pure or high Gothic (terror mode),"Cullen, Stephen",m,"THE HAUNTED PRIORY, OR, THE FORTUNES OF THE HOUSE OF RAYO. A ROMANCE FOUNDED PARTLY ON HISTORICAL FACT",1794,28
139,Contemporized Gothic (didactic and polemical elements),"Godwin, William",m,"THINGS AS THEY ARE, OR, THE ADVENTURES OF CALEB WILLIAMS",1794,51
209,Pure or high Gothic (Schauerromantik elements),"Kahlert, Karl Friedrich",m,"THE NECROMANCER, OR, THE TALE OF THE BLACK FOREST",1794,79
461,Pure or high Gothic (imitation of THE CASTLE OF OTRANTO),"Walker, George",m,THE HAUNTED CASTLE. A NORMAN ROMANCE,1794,191
34,Pure or high Gothic (fusion of terror and horror),"Bird, John",m,THE CASTLE OF HARDAYNE,1795,
152,Roman noir (horror-terror elements),"Grosse, Karl",m,THE DAGGER,1795,58
226,Pure or high Gothic (horror mode),"Lathom, Francis",m,THE CASTLE OF OLLADA,1795,
462,"Philosophical Gothic (polemical elements, reactions to Godwin’s ideas)","Walker, George",m,THE HOUSE OF TYNIAN,1795,
468,Pure or high Gothic (influence of THE CASTLE OF OTRANTO and Leland's LONGSWORD),"Warner, Richard",m,NETLEY ABBEY. A GOTHIC STORY,1795,194
16,"Marginal Gothic (didactic, philosophical fiction)","Bage, Robert",m,"HERMSPRONG: OR, MAN AS HE IS NOT",1796,
87,Pure or high Gothic (horror mode),"Cullen, Stephen",m,THE CASTLE OF INCHVALLY: A TALE ALAS! TOO TRUE,1796,
153,Pure or high Gothic (Vehmgericht or secret Fehmic tribunal),"Grosse, Karl",m,HORRID MYSTERIES. A STORY,1796,59
244,"Pure or high Gothic (horror, terror, and Schauerromantik modes, monastic shocker)","Lewis, Matthew",m,THE MONK. A ROMANCE,1796,99
315,"Grotto Gothic (horror mode, elements of Gothified history)","Palmer, John, Jr.",m,THE HAUNTED CAVERN. A CALEDONIAN TALE,1796,122
316,Tower Gothic (elements of Gothified history),"Palmer, John, Jr.",m,THE MYSTERY OF THE BLACK TOWER. A ROMANCE,1796,123
414,Pure or high Gothic (imitation of OTRANTO),"Singer, Mr.",m,"THE MYSTIC CASTLE: OR, THE ORPHAN HEIR",1796,
463,Polemical fiction (numerous Gothic elements),"Walker, George",m,"THEODORE CYPHON, OR, THE BENEVOLENT JEW",1796,192
132,Pure or high Gothic (horror mode),"Fox, Joseph, Jr.",m,"SANTA-MARIA, OR, THE MYSTERIOUS PREGNANCY. A ROMANCE",1797,47
242,Didactic and domestic novel (Gothic titling),"Leigh, Sir Samuel Egerton",m,"MUNSTER ABBEY. A ROMANCE, INTERSPERSED WITH REFLECTIONS ON VIRTUE AND MORALITY",1797,94
295,"Pure or high Gothic (terror mode, in serialized form)","Moore, George",m,GRASVILLE ABBEY. A ROMANCE,1797,118
227,Pure or high Gothic (the supernatural acoustic),"Lathom, Francis",m,"THE MIDNIGHT BELL. A GERMAN STORY, FOUNDED ON INCIDENTS IN REAL LIFE",1798,87
251,"Marginal Gothic (intermittent terror episodes, picaresque and domestic elements)","Lucas, Charles",m,"THE CASTLE OF ST. DONATS: OR, THE HISTORY OF JACK SMITH",1798,
383,Gothic parody,"R. S., esq",m,THE NEW MONK,1798,
407,Pure or high Gothic (imitation of OTRANTO and other first Gothics),"Sickelmore, Richard",m,"EDGAR: OR, THE PHANTOM OF THE CASTLE",1798,
42,Gothified History,"Brewer, James Norris",m,A WINTER'S TALE,1799,9
88,Pure or high Gothic (horror-terror modes),"Curties, T. J. Horsley (Thomas Isaac)",m,"ETHELWINA, OR, THE HOUSE OF FITZ-AUBURNE. A ROMANCE OF FORMER TIMES",1799,30
140,Gothified history (didactic elements),"Godwin, William",m,ST. LEON. A TALE OF THE SIXTEENTH CENTURY,1799,50
198,Pure or high Gothic (monastic shocker in horror-terror modes; imitation of THE MONK),"Ireland, William Henry",m,THE ABBESS. A ROMANCE,1799,74
342,Pure or high Gothic (terror mode),"Proby, William Charles",m,THE MYSTERIOUS SEAL,1799,
451,Sentimental Gothic (Radcliffean imitation),"Thomas, Francis Tracy",m,MONK-WOOD PRIORY,1799,
199,Pure or high Gothic (terror mode),"Ireland, William Henry",m,"RIMAULDO, OR, THE CASTLE OF BADAJOS",1800,76
228,Naturalized Gothic (domestic and sentimental elements),"Lathom, Francis",m,MYSTERY. A NOVEL,1800,89
343,"Pure or high Gothic (terror mode, Radcliffean imitation)","Proby, William Charles",m,THE SPIRIT OF THE CASTLE,1800,
408,Pure or high Gothic (elements of THE MONK's loathsome descriptions),"Sickelmore, Richard",m,MARY JANE. A NOVEL,1800,168
430,"Pure or high Gothic (Schauerromantik features, imitation of THE MONK)","Somerset, Henry",m,"JACQUELINE OF OLZENBERG: OR, FINAL RETRIBUTION",1800,
464,Pure or high Gothic (imitation of THE MONK),"Walker, George",m,THE THREE SPANIARDS: A ROMANCE,1800,
,(not indexed),"Williams, William Frederick",m,FITZMAURICE,1800,204
89,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"ANCIENT RECORDS, OR, THE ABBEY OF SAINT OSWYTHE. A ROMANCE",1801,29
252,"Political and polemical Gothic (satiric and philosophic elements, attack on Godwin and Jacobin novelists)","Lucas, Charles",m,THE INFERNAL QUIXOTE. A TALE OF THE DAY,1801,104
431,"Ritterroman (speculative, sham translation from German sources, terror mode)","Somerset, Henry",m,"MARTYN OF FENROSE: OR, THE WIZARD AND THE SWORD",1801,
,(not indexed),"Lewis, Matthew (and other)",m,TALES OF TERROR. WITH AN INTRODUCTORY DIALOGUE,1801,101
45,Philosophical Gothic (domestic elements),"Brydges, Sir Samuel Egerton",m,LE FORESTER. A NOVEL,1802,12
229,"Pure or high Gothic (quest story, picaresque elements)","Lathom, Francis",m,ASTONISHMENT!!! A ROMANCE OF A CENTURY AGO,1802,85
280,"Pure or high Gothic (terror mode, chapbook quality)","Melville, Theodore",m,"THE WHITE KNIGHT: OR, THE MONASTERY OF THE MORNE",1802,
