gender,Frank,Irelands;ABBESS;THEABBESS,aborted,acoustic,authentic;actual;actually,combined;Combined;combines;compilation;composite;Anthology;anthology,Antoine,Apocalyptic,appearances,architecture,Chapbook;chapbook;bluebook,castle,categorized,centered,chapters,character;characterization;characters,Charles,Barretts;THEHEROINE,containing,Parody;parody;burlesque;caricature;satire;satiric;satirizes;Comic,effects;elements;features;attitudes;episodes;intermittent;methods;overtones;periodic;qualities;scenes;situations;touches;traits;tendencies;strains;devices;Semi;secondary;components,Contemporized,content,descriptions,domestic;Domestic;domesticated,Doppleganger;Double,drama,entanglements,epistolary;Epistolary,essays,explained;Natural;natural;Naturalized;naturalized,family,fantasy,father,Fehmic;FehmicCourt,Fiction;fiction,form;format,fragments,French,futuristic,genealogical,German;Germanic;Rauberroman;Rauberroman;Rauberromantik;Schauerroman;Schauerromantik;Shauerromantik;Ritterroman,Godwin;Godwins,gothic;Gothic,Gothified,Gothicism,Gothics,Grotto,Guilaume,heroine;heroines,Pure;high,historical;Historical;history;History,horrific;horror,Ideas;ideas,imitates;imitation;imitations,incest,incident,Irish,Jacobin,JohnMoores;ZELUCO,journalistic;Documentary,main,key,Diderot;LARELIGIEUSE,Lathoms,Lewisite;Lewiss;THEMONK;THEMONKs,legend,Lelands;LONGSWORD,loathsome,Shakespearean;Macbethian,Mackenzies;MANOFFEELING,maiden,Maturins;THEFATALREVENGE;MELMOTHTHEWANDERER,Medieval;medievalism,mode,moderated,modes,Monastic;monastic,monster,didactic;Didactic;didactit;moralized;Polemical;polemical;attack;Political;politics;philosophic;philosophical;Philosophical,didactic;Didactic;didactit;moralized,Polemical;polemical;attack;Political;politics;philosophic;philosophical;Philosophical;Radical;Revolution;revolutionary,Polemical;polemical;attack,Political;politics,philosophic;philosophical;Philosophical,Radical;Revolution;revolutionary,motif;motifs,mysterious,mystery,names,nationalistic,nature,noir;Noir,novella;nouvella;novelette,Novel;novel;novels,novelists,CharlotteSmith;CharlotteSmiths;Smiths;EMMELINE;OLDMANORHOUSE,Orientalized,other,Walpole;OTRANTO;Otrantoesque;THECASTLEOFOTRANTO,passions;feelings,persecuted,picaresque;Picaresque,Pigault,abridgement;compressed;reductions;plagiarism;plagiarisms;plagiarized,pleasures,plotting,principal,procedures,prominent,props,prose,early;emergent;anticipates;first;preGothic;primitive;prototype;prototypical;Prototypical,pseudohistorical;pseudohistory,pulp,puzzlements,quality,Quest;quest,Radcliffean;Radcliffes;Mrs.Radcliffe;Mrs.Radcliffes;ROMANCEOFTHEFOREST;THEITALIAN;THEMYSTERIESOFUDOLPHO;Udolphoesque,reactions,Reeve;Reeves;OLDENGLISHBARON,represented,influence;influences,recessant;recessive;residual;residue;reverberations; echoes,revival,Richardsonian,Rochean,roman;Roman;clef,Romance;romance;romantic,ruin;Ruin,sadism,saga,salient,science,search,secret,Seduction,segment,sentimental;Sentimental;Sentimentalized;sentimentalized,serialized;Serialized;Periodical,serious,Shelleys;ST.IRVYNE,shilling,Shocker;shocker;Schocker,short,social,Sorcerer,based;from;source;sources;taken,Fake;counterfeit;sham;Sham;artificial,spectral;apparitional,speculative,Spenserian,Story;story,straight,sublime,subplots;subspecies,supernatural,Tale;tales,technical,terror;terrors,theme,theory,thriller;thrillers,title;titling;titular,toned,SophiaLees;THERECESS,settings;locale;locations;landscapes;scenery;topographies,topographies,Tower,reworked;converted,transformation,translation;translations,tribunal,Turret,twin,types,tyrant,substantial;numerous;excessive;heavily;highly;many;several,few;Marginal;mild;minimal;no;slightly;some;sometimes;subdued,Vampire,Mixed;mixed;multiple;fusion;variable;varieties;variety;various,Vehmgericht,VeitWeber,verse,villain,visitations,volumes,WanderingJew,witchcraft
f,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,imitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CharlotteSmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,Grotto,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,horror,,,,,,,,,,,,,,,,,,,,,,,,modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,64,,,,,,,,,,,,,,,,,,,satiric,elements,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,many,,,,,,,,,,,
f,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,76,,,,,combines,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,history,horrific,,,,,,,,,,,,,,,,,,,,,,,,,,,didactic,didactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,horror,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,97,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,imitation,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mrs.Radcliffes;THEITALIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,99,,,,,,,,,,,,,,,characters,,,,,episodes,,,,,,,,,,,,,,,Fiction,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Picaresque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,locations,,,,,,,,,,,,few,,,,,,,,,,
f,100,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,,,,,,fiction,,,,,,,,,Gothified,,,,,,,History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,counterfeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,101,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,didactic,didactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,horror,,,,,,,,,,,,,,,,,,,,,,,,modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,107,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,108,,,,,,,,,,,,,,,,,,,,elements,,,,Domestic,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,didactic,didactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sentimental,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,romance,ruin,,,,,,,,,Sentimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,128,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,,,,,,,,,,mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,142,,,,,,,,,,,,,,,,,,,,elements,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,,,,,,,,,,,,THEMONK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothified,,,,,,,history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,echoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SophiaLees;THERECESS,,,,,,,,,,,,,,,,,,,,,,,
f,144,,,,,,,,,,,,,,,,,,,,features,,,,Domestic,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richardsonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,various,,,,,,,,
f,145,Irelands;ABBESS,,,,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,Pure;high,,,,imitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THEITALIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,149,,,,,,,,,,,,,,,,,Barretts;THEHEROINE,,parody,,,,,,,,,,,,,,,,,,,,,,,,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reverberations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
